nthreads,opt,topic,batch,start,end
2,0,0,1,15:03:09.576967,15:04:00.922488
2,0,1,1,15:03:09.577439,15:04:02.596146
1,0,0,1,15:11:02.375716,15:11:55.997396
1,0,1,1,15:11:55.997604,15:12:52.603540
1,3,0,1,15:18:45.275570,15:19:13.356186
1,3,1,1,15:19:13.356397,15:19:41.995924
1,3,0,2,15:19:42.553308,15:20:07.854899
1,3,1,2,15:20:07.855107,15:20:34.882077
2,3,0,1,15:23:12.591160,15:23:46.158467
2,3,1,1,15:23:12.594152,15:23:48.277447
2,3,0,2,15:23:48.874977,15:24:22.724106
2,3,1,2,15:23:48.875060,15:24:22.734255

